format,team1,team2,toss_winner,match_winner,venue,date
T20,Southern Brave,Birmingham Phoenix,Birmingham Phoenix,Southern Brave,"Lord's, London",2021-08-21
T20,South Africa,West Indies,West Indies,South Africa,Kingsmead,2015-01-14
T20,Uganda,Botswana,Uganda,Uganda,"Gahanga International Cricket Stadium, Rwanda",2024-12-13
T20,Yorkshire Diamonds,Surrey Stars,Yorkshire Diamonds,Surrey Stars,"Kennington Oval, London",2016-08-04
T20,Indonesia,Thailand,Indonesia,Thailand,Udayana Cricket Ground,2024-05-06
T20,Serbia,Croatia,Serbia,Croatia,Tikkurila Cricket Ground,2022-07-19
ODI,England,Ireland,England,Ireland,"Civil Service Cricket Club, Stormont, Belfast",2024-09-11
Test,England,India,England,England,MA Chidambaram Stadium,2021-02-05
ODI,England,South Africa,South Africa,England,"The Rose Bowl, Southampton",2025-09-07
ODI,Australia,West Indies,Australia,Australia,Manuka Oval,2013-02-06
T20,Fortune Barishal,Comilla Victorians,Comilla Victorians,Fortune Barishal,Sylhet International Cricket Stadium,2022-02-07
T20,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Stars,Bellerive Oval,2017-01-20
T20,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,Sydney Sixers,Bellerive Oval,2012-01-22
ODM,Chilaw Marians Cricket Club,Badureliya Sports Club,Badureliya Sports Club,Chilaw Marians Cricket Club,"Nondescripts Cricket Club Ground, Colombo",2025-06-27
T20,Auckland,Northern Districts,Auckland,Auckland,"Seddon Park, Hamilton",2021-12-17
T20,New Zealand,England,England,New Zealand,Westpac Stadium,2018-02-13
MDM,Sussex,Nottinghamshire,Nottinghamshire,No Result,"County Ground, Hove",2017-09-25
MDM,Surrey,Leicestershire,Surrey,Surrey,"Kennington Oval, London",2014-06-22
ODI,Netherlands,United Arab Emirates,United Arab Emirates,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-11-09
T20,Somerset,Gloucestershire,Gloucestershire,Gloucestershire,County Ground,2018-07-13
Test,Sri Lanka,New Zealand,New Zealand,Sri Lanka,Galle International Stadium,2019-08-14
T20,New Zealand,Pakistan,Pakistan,Pakistan,McLean Park,2020-12-22
T20,Worcestershire,Northamptonshire,Worcestershire,Worcestershire,"County Ground, Northampton",2023-05-24
ODI,England,South Africa,South Africa,South Africa,Lord's,2017-05-29
T20,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,Hobart Hurricanes,Bellerive Oval,2012-01-01
T20,Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",2025-05-24
T20,Abu Dhabi Knight Riders,Sharjah Warriorz,Sharjah Warriorz,Sharjah Warriorz,Sharjah Cricket Stadium,2025-01-30
T20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",2025-04-10
ODI,New Zealand,Pakistan,New Zealand,Pakistan,Edgbaston,2019-06-26
T20,Pakistan,South Africa,Pakistan,South Africa,"The Wanderers Stadium, Johannesburg",2021-04-12
ODM,Namibia,Canada,Namibia,Namibia,Wanderers Cricket Ground,2012-04-12
Test,India,England,England,No Result,"Vidarbha Cricket Association Stadium, Jamtha",2012-12-13
MDM,Nottinghamshire,Durham,Durham,Durham,"Riverside Ground, Chester-le-Street",2015-05-10
T20,Cambodia,Indonesia,Indonesia,Indonesia,Udayana Cricket Ground,2025-12-24
MDM,Canterbury,Central Stags,Central Stags,Canterbury,"Saxton Oval, Nelson",2015-03-17
T20,Leicestershire,Derbyshire,Derbyshire,Derbyshire,"County Ground, Derby",2022-06-09
T20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,2008-05-21
T20,Australia,India,India,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23
T20,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-27
ODI,Sri Lanka,West Indies,West Indies,No Result,Sinhalese Sports Club Ground,2011-01-31
ODM,Gloucestershire,Warwickshire,Warwickshire,Warwickshire,"College Ground, Cheltenham",2022-08-02
T20,Guyana Amazon Warriors,Trinbago Knight Riders,Trinbago Knight Riders,Trinbago Knight Riders,"Queen's Park Oval, Port of Spain",2017-08-11
T20,Durham,Worcestershire,Durham,Worcestershire,Riverside Ground,2019-08-15
MDM,Yorkshire,Durham,Durham,No Result,"Headingley, Leeds",2014-07-07
T20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,2017-04-16
T20,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",2022-04-09
ODM,Northern Knights,Leinster Lightning,Northern Knights,Leinster Lightning,La Manga Club Top Ground,2019-04-25
ODM,Surrey,Durham,Durham,Surrey,"Riverside Ground, Chester-le-Street",2025-09-13
MDM,Auckland Aces,Otago Volts,Auckland Aces,No Result,"Queen's Park, Invercargill",2021-03-18
T20,Essex,Hampshire,Hampshire,No Result,The Rose Bowl,2018-08-12
ODM,Thailand,Zimbabwe,Thailand,Thailand,Harare Sports Club,2021-11-21
MDM,Lancashire,Nottinghamshire,Nottinghamshire,Nottinghamshire,"Old Trafford, Manchester",2018-04-13
T20,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,"Manuka Oval, Canberra",2022-11-15
T20,Malaysia,Singapore,Malaysia,Malaysia,"Bayuemas Oval, Kuala Lumpur",2025-04-24
MDM,Glamorgan,Derbyshire,Glamorgan,No Result,"County Ground, Derby",2016-04-24
T20,Negombo Cricket Club,Ace Capital Cricket Club,Ace Capital Cricket Club,Negombo Cricket Club,"Nondescripts Cricket Club Ground, Colombo",2024-05-13
ODI,Zimbabwe,South Africa,Zimbabwe,South Africa,Harare Sports Club,2014-08-29
MDM,Otago Volts,Auckland Aces,Auckland Aces,No Result,University of Otago Oval,2024-02-29
ODI,England,South Africa,South Africa,No Result,Sophia Gardens,2012-08-24
MDM,Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,"Lord's, London",2021-05-06
T20,Odisha,Jharkhand,Odisha,Jharkhand,JSCA International Stadium Complex,2018-01-16
T20,Rajshahi Kings,Chittagong Vikings,Chittagong Vikings,Rajshahi Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",2019-01-26
Test,India,England,England,India,"Kennington Oval, London",2025-07-31
T20,Galle Gladiators,Colombo Stars,Galle Gladiators,Galle Gladiators,Pallekele International Cricket Stadium,2022-12-11
ODI,West Indies,Australia,Australia,Australia,Providence Stadium,2016-06-05
T20,Somerset,Gloucestershire,Gloucestershire,Somerset,The Cooper Associates County Ground,2014-07-11
IT20,Scotland,Oman,Oman,Scotland,Goldenacre,2015-07-18
T20,Ireland,New Zealand,Ireland,New Zealand,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22
ODI,Pakistan,South Africa,South Africa,South Africa,Edgbaston,2013-06-10
ODI,Bangladesh,India,Bangladesh,India,"Maharashtra Cricket Association Stadium, Pune",2023-10-19
T20,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,No Result,Sydney Cricket Ground,2026-01-11
T20,Eswatini,Mozambique,Eswatini,Eswatini,Malkerns Country Club oval,2025-09-12
ODI,Australia,West Indies,Australia,Australia,"Kensington Oval, Bridgetown, Barbados",2021-07-20
T20,Derbyshire,Worcestershire,Worcestershire,Derbyshire,County Ground,2017-08-18
MDM,Durham,Northamptonshire,Northamptonshire,Durham,"Riverside Ground, Chester-le-Street",2014-09-15
T20,Delhi,Punjab,Delhi,Delhi,"Sawai Mansingh Stadium, Jaipur",2022-10-12
T20,Surrey,Hampshire,Hampshire,Surrey,"The Rose Bowl, Southampton",2025-06-17
MDM,Glamorgan,Sussex,Sussex,Sussex,"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",2017-08-28
T20,Bangladesh,India,India,India,Shere Bangla National Stadium,2016-03-06
T20,Nigeria,Malawi,Malawi,Nigeria,"Gahanga B Ground, Rwanda",2024-06-07
T20,Auckland,Otago,Otago,Auckland,"Eden Park Outer Oval, Auckland",2026-01-06
T20,France,Germany,Germany,Germany,Bayer Uerdingen Cricket Ground,2021-07-08
T20,Fortune Barishal,Khulna Tigers,Khulna Tigers,Fortune Barishal,"Shere Bangla National Stadium, Mirpur",2023-02-03
ODI,South Africa,Sri Lanka,Sri Lanka,South Africa,Senwes Park,2019-02-17
T20,Kenya,Uganda,Kenya,Kenya,Entebbe Cricket Oval,2021-09-10
T20,St Kitts and Nevis Patriots,Trinbago Knight Riders,Trinbago Knight Riders,Trinbago Knight Riders,"Brian Lara Stadium, Tarouba, Trinidad",2024-09-22
ODI,Australia,India,India,Australia,Reliance Stadium,2018-03-15
ODI,England,New Zealand,New Zealand,New Zealand,University Oval,2018-03-07
T20,Thunder,Northern Diamonds,Northern Diamonds,Northern Diamonds,"Riverside Ground, Chester-le-Street",2024-06-19
T20,Gibraltar,Portugal,Gibraltar,Portugal,Europa Sports Complex,2023-05-04
T20,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,2019-04-23
T20,Dolphins,Lions,Dolphins,Dolphins,"Kingsmead, Durban",2021-02-24
T20,Italy,Sweden,Sweden,Italy,Tikkurila Cricket Ground,2022-07-15
T20,Austria,Slovenia,Austria,Austria,"Ballpark Ground, Graz",2025-05-18
T20,Saudi Arabia,Oman,Oman,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-11-17
ODI,India,Sri Lanka,India,India,County Ground,2017-07-05
T20,Hong Kong,Nepal,Hong Kong,Nepal,Asian Institute of Technology Ground,2019-02-24
ODM,Netherlands,Kenya,Kenya,Kenya,Buffalo Park,2017-10-08
T20,Wellington,Northern Districts,Wellington,Northern Districts,"Bay Oval, Mount Maunganui",2024-01-02
Test,Zimbabwe,Australia,Zimbabwe,Australia,Sydney Cricket Ground,2003-10-17
T20,Dhaka Dynamites,Rajshahi Kings,Dhaka Dynamites,Rajshahi Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",2016-11-21
ODM,South East Stars,Northern Diamonds,South East Stars,Northern Diamonds,"Kent County Cricket Ground, Beckenham",2023-07-02
MDM,Wellington Firebirds,Northern Districts,Northern Districts,No Result,Cello Basin Reserve,2023-11-06
T20,Seattle Orcas,San Francisco Unicorns,Seattle Orcas,Seattle Orcas,Grand Prairie Stadium,2023-07-15
T20,Pakistan,New Zealand,New Zealand,New Zealand,Westpac Stadium,2018-01-22
ODI,South Africa,West Indies,South Africa,South Africa,Newlands,2008-01-25
MDM,Lancashire,Essex,Lancashire,No Result,"Old Trafford, Manchester",2015-07-06
T20,Chittagong Vikings,Dhaka Dynamites,Chittagong Vikings,Dhaka Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",2017-11-27
ODI,Bangladesh,India,Bangladesh,India,Shere Bangla National Stadium,2011-02-19
MDM,Canterbury,Auckland Aces,Canterbury,Auckland Aces,"Eden Park No 2, Auckland",2012-12-16
ODI,West Indies,New Zealand,New Zealand,New Zealand,"McLean Park, Napier",2025-11-19
ODI,Pakistan,South Africa,South Africa,South Africa,Sharjah Cricket Stadium,2013-11-11
ODI,England,New Zealand,England,New Zealand,The Rose Bowl,2015-06-14
IT20,Ireland,United Arab Emirates,Ireland,Ireland,Abu Dhabi Oval 2,2013-11-17
T20,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-14
ODI,South Africa,England,South Africa,No Result,Kingsmead,2005-02-11
ODM,Northern Knights,North-West Warriors,North-West Warriors,Northern Knights,"Civil Service Cricket Club, Stormont, Belfast",2024-05-09
ODI,Pakistan,West Indies,Pakistan,Pakistan,Multan Cricket Stadium,2022-06-10
T20,Northern Districts,Central Districts,Northern Districts,Central Districts,"Bay Oval, Mount Maunganui",2022-01-14
MDM,Somerset,Nottinghamshire,Somerset,Nottinghamshire,"Trent Bridge, Nottingham",2014-06-22
ODM,South East Stars,Sunrisers,South East Stars,South East Stars,"Kent County Cricket Ground, Beckenham",2022-07-02
T20,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Kingsmead,2009-04-29
T20,Nigeria,Kenya,Kenya,Kenya,"United Cricket Club Ground, Windhoek",2023-11-23
MDM,Canada,Netherlands,Canada,Netherlands,"Sinovich Park, Sinoville",2006-12-05
ODI,New Zealand,South Africa,New Zealand,New Zealand,"Gaddafi Stadium, Lahore",2025-03-05
T20,Middlesex,Glamorgan,Middlesex,Glamorgan,Old Deer Park,2014-07-03
ODI,West Indies,England,England,England,"Sir Vivian Richards Stadium, North Sound, Antigua",2024-11-02
ODI,West Indies,Pakistan,Pakistan,Pakistan,"Seddon Park, Hamilton",2022-03-21
MDM,Kent,Essex,Essex,Essex,"St Lawrence Ground, Canterbury",2019-08-18
ODM,Southern Vipers,The Blaze,The Blaze,The Blaze,"New Close County Cricket Ground, Newport, Isle-of-Wight",2023-07-11
Test,Australia,India,Australia,Australia,Western Australia Cricket Association Ground,2012-01-13
ODM,Northamptonshire,Yorkshire,Northamptonshire,Yorkshire,"County Ground, Northampton",2019-05-01
ODM,United Arab Emirates,Nepal,Nepal,United Arab Emirates,Sheikh Zayed Stadium,2017-12-08
T20,Durban Heat,Nelson Mandela Bay Giants,Durban Heat,Nelson Mandela Bay Giants,"St George's Park, Port Elizabeth",2019-11-23
ODI,New Zealand,Sri Lanka,New Zealand,Sri Lanka,McLean Park,2006-12-28
Test,India,Australia,Australia,India,"Punjab Cricket Association Stadium, Mohali",2010-10-01
ODI,South Africa,West Indies,West Indies,No Result,"Basin Reserve, Wellington",2022-03-24
T20,India,Pakistan,Pakistan,Pakistan,Feroz Shah Kotla,2016-03-19
T20,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Docklands Stadium,2019-12-29
T20,Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,"Daren Sammy National Cricket Stadium, Gros Islet",2018-11-14
T20,Northern Districts,Central Districts,Central Districts,Northern Districts,"Pukekura Park, New Plymouth",2022-12-31
T20,Cumilla Warriors,Rajshahi Royals,Rajshahi Royals,Rajshahi Royals,"Zahur Ahmed Chowdhury Stadium, Chattogram",2019-12-24
T20,Uganda,Botswana,Uganda,Uganda,"Gymkhana Club Ground, Nairobi",2023-06-14
ODI,Zimbabwe,Netherlands,Zimbabwe,Zimbabwe,Harare Sports Club,2023-03-23
ODM,Kenya,Namibia,Namibia,No Result,United Cricket Club Ground,2018-02-09
ODI,Pakistan,Netherlands,Pakistan,Pakistan,"Hazelaarweg, Rotterdam",2022-08-21
T20,Titans,Knights,Titans,Titans,"Senwes Park, Potchefstroom",2022-11-02
IT20,Ghana,Gambia,Ghana,Ghana,Tafawa Balewa Square Cricket Oval,2018-04-18
T20,New Zealand,South Africa,New Zealand,South Africa,Sylhet Stadium,2014-03-31
ODM,Lancashire,Northamptonshire,Lancashire,Lancashire,"County Ground, Northampton",2024-08-11
ODM,Durham,Somerset,Somerset,Durham,"The Cooper Associates County Ground, Taunton",2022-08-10
T20,Worcestershire,Nottinghamshire,Nottinghamshire,Worcestershire,"Trent Bridge, Nottingham",2025-06-07
T20,Thunder,The Blaze,The Blaze,The Blaze,"Haslegrave Ground, Loughborough",2024-05-26
Test,South Africa,England,England,South Africa,New Wanderers Stadium,2010-01-14
T20,Ireland,Hong Kong,Hong Kong,Hong Kong,"Bready Cricket Club, Magheramason",2016-09-05
T20,Pakistan,Zimbabwe,Pakistan,Zimbabwe,"Queens Sports Club, Bulawayo",2024-12-05
T20,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011-05-22
T20,Yorkshire,Leicestershire,Leicestershire,Leicestershire,"Grace Road, Leicester",2024-05-31
T20,Rwanda,Uganda,Uganda,Uganda,"Wanderers Cricket Ground, Windhoek",2023-11-30
T20,Burgher Recreation Club,Police Sports Club,Police Sports Club,Burgher Recreation Club,"Colts Cricket Club Ground, Colombo",2025-05-16
T20,Papua New Guinea,Zimbabwe,Zimbabwe,Zimbabwe,Harare Sports Club,2024-03-30
T20,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011-05-14
T20,Malaysia,Philippines,Philippines,Malaysia,"Terdthai Cricket Ground, Bangkok",2025-12-09
MDM,Sussex,Worcestershire,Worcestershire,Sussex,"County Ground, Hove",2025-05-09
T20,Lions,Warriors,Lions,Lions,"Kingsmead, Durban",2016-12-04
ODI,South Africa,Pakistan,Pakistan,South Africa,Chevrolet Park,2013-03-10
ODI,New Zealand,South Africa,New Zealand,South Africa,Bay Oval,2014-10-24
T20,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Perth Scorchers,W.A.C.A. Ground,2018-12-23
T20,Karnataka,Tamil Nadu,Tamil Nadu,Karnataka,Lalbhai Contractor Stadium,2019-12-01
T20,Nepal,Hong Kong,Nepal,Hong Kong,Hong Kong Cricket Club,2023-11-16
T20,Myanmar,Thailand,Thailand,Thailand,"Bayuemas Oval, Kuala Lumpur",2024-02-10
ODI,West Indies,Australia,West Indies,Australia,"Basin Reserve, Wellington",2022-03-15
ODM,Police Sports Club,Nugegoda Sports Welfare Club,Nugegoda Sports Welfare Club,Police Sports Club,"De Zoysa Stadium, Moratuwa",2024-06-10
T20,UP Warriorz,Mumbai Indians,Mumbai Indians,UP Warriorz,"Dr DY Patil Sports Academy, Navi Mumbai",2026-01-17
T20,Finland,Norway,Finland,Finland,"Ishoj Cricket Club, Vejledalen",2025-06-14
ODI,Zimbabwe,Bangladesh,Bangladesh,Bangladesh,Queens Sports Club,2011-08-19
Test,India,England,India,India,MA Chidambaram Stadium,2021-02-13
ODI,India,Bangladesh,Bangladesh,India,"Zahur Ahmed Chowdhury Stadium, Chattogram",2022-12-10
Test,Pakistan,Sri Lanka,Sri Lanka,No Result,Sharjah Cricket Stadium,2011-11-03
Test,India,South Africa,India,South Africa,"Newlands, Cape Town",2022-01-11
ODI,Pakistan,Bangladesh,Pakistan,Pakistan,National Stadium,2008-04-19
T20,Sylhet Sixers,Rangpur Riders,Rangpur Riders,Sylhet Sixers,Sylhet International Cricket Stadium,2019-01-16
ODI,Zimbabwe,Australia,Zimbabwe,Australia,Harare Sports Club,2004-05-25
ODM,Leicestershire,Lancashire,Leicestershire,Leicestershire,"Old Trafford, Manchester",2023-08-11
Test,Sri Lanka,New Zealand,New Zealand,Sri Lanka,Galle International Stadium,2012-11-17
MDM,Somerset,Middlesex,Middlesex,Somerset,"Lord's, London",2023-05-18
T20,Indonesia,Myanmar,Indonesia,Indonesia,Udayana Cricket Ground,2025-11-08
T20,Himachal,Railways,Himachal,Himachal,"Cricket Stadium, Sector-16",2019-11-18
ODI,New Zealand,Sri Lanka,Sri Lanka,New Zealand,"Seddon Park, Hamilton",2025-01-08
T20,Bermuda,Bahamas,Bermuda,Bermuda,"Belgrano Athletic Club Ground, Buenos Aires",2024-12-15
MDM,Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,"County Ground, New Road, Worcester",2025-09-08
T20,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Western Australia Cricket Association Ground,2012-12-12
T20,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Perth Scorchers,Camberwell Sports Ground,2018-01-28
T20,Mexico,Argentina,Argentina,Argentina,St Georges Quilmes,2023-10-19
MDM,Victoria,New South Wales,New South Wales,Victoria,"Junction Oval, Melbourne",2025-10-15
T20,Northamptonshire,Yorkshire,Yorkshire,Yorkshire,County Ground,2016-07-29
T20,Turkey,Bulgaria,Bulgaria,Bulgaria,"Vassil Levski National Sports Academy, Sofia",2025-07-10
ODM,Sussex,Middlesex,Sussex,Sussex,"County Ground, Hove",2021-08-12
ODM,Glamorgan,Kent,Glamorgan,No Result,"Sophia Gardens, Cardiff",2019-04-25
IT20,Israel,Spain,Spain,Spain,Skarpnack 2,2016-08-17
ODM,Southern Vipers,Western Storm,Southern Vipers,Southern Vipers,"The Rose Bowl, Southampton",2020-09-13
T20,New Zealand,Australia,New Zealand,Australia,"Great Barrier Reef Arena, Mackay",2024-09-19
T20,Moors Sports Club,Colombo Cricket Club,Colombo Cricket Club,Moors Sports Club,"Sinhalese Sports Club Ground, Colombo",2025-05-25
T20,Central Districts,Canterbury,Central Districts,Canterbury,"Saxton Oval, Nelson",2026-01-03
T20,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",2025-04-13
T20,Leicestershire,Worcestershire,Leicestershire,Worcestershire,"County Ground, New Road, Worcester",2025-07-13
T20,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Perth Scorchers,"Junction Oval, Melbourne",2025-11-27
T20,South Africa,England,England,England,"County Ground, New Road, Worcester",2022-07-23
T20,Indonesia,Philippines,Philippines,Philippines,Udayana Cricket Ground,2023-12-26
ODI,South Africa,Pakistan,Pakistan,Pakistan,Newlands,2013-11-24
T20,Nigeria,Sierra Leone,Nigeria,Nigeria,"Nigeria Cricket Federation Oval 1, Abuja",2025-12-11
T20,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,Traeger Park,2019-12-20
T20,Noakhali Express,Sylhet Titans,Noakhali Express,Sylhet Titans,Sylhet International Cricket Stadium,2026-01-05
MDM,Yorkshire,Derbyshire,Derbyshire,No Result,"Headingley, Leeds",2020-08-15
MDM,Canterbury,Northern Districts,Canterbury,No Result,Hagley Oval,2019-10-21
T20,Surrey,Sussex,Sussex,Surrey,Kennington Oval,2019-08-15
T20,Ireland,Nepal,Nepal,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-14
T20,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,2014-02-12
ODI,England,Pakistan,England,England,County Ground,2019-05-14
ODM,Scotland,Namibia,Namibia,Scotland,"Grange Cricket Club Ground, Raeburn Place",2017-06-11
ODM,Sinhalese Sports Club,Ace Capital Cricket Club,Sinhalese Sports Club,Ace Capital Cricket Club,Sri Lanka Army Ordnance Corps International Cricket Stadium,2024-06-13
T20,Bahamas,Brazil,Bahamas,Bahamas,"St George's College Ground, Buenos Aires",2024-12-06
T20,Thailand,Saudi Arabia,Saudi Arabia,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",2024-02-13
T20,South Africa,England,South Africa,England,New Wanderers Stadium,2009-11-13
T20,Lahore Qalandars,Islamabad United,Lahore Qalandars,No Result,Sharjah Cricket Stadium,2018-03-02
T20,Sydney Thunder,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Showground Stadium,2023-01-08
ODI,Australia,Sri Lanka,Sri Lanka,Australia,Allan Border Field,2019-10-09
ODM,Northern Diamonds,Sunrisers,Northern Diamonds,Northern Diamonds,"Headingley, Leeds",2022-07-09
T20,Sikkim,Saurashtra,Sikkim,Saurashtra,Holkar Stadium,2019-02-25
T20,Dubai Capitals,Gulf Giants,Dubai Capitals,Gulf Giants,Sharjah Cricket Stadium,2024-01-27
T20,Worcestershire,Northamptonshire,Northamptonshire,Worcestershire,"County Ground, Northampton",2021-06-11
T20,Nepal,Hong Kong,Nepal,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-20
ODM,Singapore,United States of America,United States of America,United States of America,Bayuemas Oval,2012-09-09
T20,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Stars,"Latrobe Recreation Ground, Latrobe",2022-11-15
T20,Bhutan,Thailand,Bhutan,Bhutan,"UKM-YSD Cricket Oval, Bangi",2022-07-09
Test,India,West Indies,India,No Result,"Daren Sammy National Cricket Stadium, Gros Islet",2006-06-10
T20,Karnali Yaks,Kathmandu Gurkhas,Kathmandu Gurkhas,Kathmandu Gurkhas,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-04
T20,Northern Knights,Leinster Lightning,Northern Knights,Northern Knights,Oak Hill Cricket Club,2024-09-10
ODI,New Zealand,India,India,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-22
ODI,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,2004-03-14
Test,West Indies,Zimbabwe,West Indies,West Indies,"Queens Sports Club, Bulawayo",2003-11-12
T20,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,Sydney Sixers,Sydney Cricket Ground,2021-12-21
ODM,Italy,Oman,Italy,Oman,Somerset Cricket Club,2013-05-05
T20,Yorkshire Diamonds,Lancashire Thunder,Lancashire Thunder,Yorkshire Diamonds,"Headingley, Leeds",2017-08-11
T20,Mexico,Costa Rica,Mexico,Mexico,Los Reyes Polo Club,2024-04-14
MDM,Gloucestershire,Sussex,Sussex,No Result,"County Ground, Bristol",2016-09-20
ODI,West Indies,England,West Indies,West Indies,"Kensington Oval, Bridgetown",2009-03-27
T20,Hong Kong,Nepal,Nepal,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-15
ODI,New Zealand,Pakistan,Pakistan,New Zealand,Eden Park,2016-01-31
T20,Tamil Nadu,Rajasthan,Rajasthan,Tamil Nadu,St'Xavier's KCA Cricket Ground,2019-11-09
ODI,England,Pakistan,England,No Result,Kinrara Academy Oval,2019-12-14
ODI,Sri Lanka,India,Sri Lanka,Sri Lanka,R Premadasa Stadium,2009-02-08
T20,Japan,Mongolia,Japan,No Result,Sano International Cricket Ground,2024-05-08
T20,Pakistan,Ireland,Pakistan,Ireland,"Clontarf Cricket Club Ground, Dublin",2025-08-08
ODI,United Arab Emirates,Nepal,Nepal,United Arab Emirates,Dubai International Cricket Stadium,2022-03-21
T20,Estonia,Isle of Man,Isle of Man,Isle of Man,Happy Valley Ground,2021-10-08
T20,Jersey,Norway,Jersey,Jersey,King George V Sports Ground,2019-06-16
ODI,South Africa,Ireland,South Africa,South Africa,"The Village, Malahide, Dublin",2021-07-16
MDM,Yorkshire,Hampshire,Yorkshire,Hampshire,"The Rose Bowl, Southampton",2025-04-04
T20,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,JSCA International Stadium Complex,2014-05-02
T20,Australia,New Zealand,Australia,Australia,"Kensington Oval, Bridgetown",2010-05-16
T20,Wellington,Otago,Wellington,Otago,"Basin Reserve, Wellington",2025-01-14
ODI,South Africa,India,India,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2021-03-09
T20,Myanmar,Cambodia,Cambodia,Cambodia,"Terdthai Cricket Ground, Bangkok",2024-01-27
T20,Melbourne Stars,Perth Scorchers,Perth Scorchers,Perth Scorchers,W.A.C.A. Ground,2015-12-27
T20,Zimbabwe,India,India,India,Harare Sports Club,2010-06-13
ODI,Australia,Sri Lanka,Sri Lanka,Australia,Western Australia Cricket Association Ground,2012-02-10
MDM,Wellington Firebirds,Central Stags,Wellington Firebirds,Central Stags,"Basin Reserve, Wellington",2025-11-26
T20,Joburg Super Kings,Paarl Royals,Paarl Royals,Paarl Royals,"The Wanderers Stadium, Johannesburg",2024-01-24
T20,Jamaica Tallawahs,Barbados Royals,Barbados Royals,Barbados Royals,"Kensington Oval, Bridgetown, Barbados",2023-08-31
T20,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,2015-04-17
