format,team1,team2,toss_winner,match_winner,venue,date
T20,St Kitts and Nevis Patriots,St Lucia Kings,St Lucia Kings,St Lucia Kings,"Warner Park, Basseterre, St Kitts",2024-09-01
T20,Galle Gladiators,Dambulla Viiking,Dambulla Viiking,Dambulla Viiking,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2020-12-09
T20,Western Province,Warriors,Western Province,Warriors,"Newlands, Cape Town",2024-10-09
T20,Netherlands,Ireland,Netherlands,Ireland,"Zayed Cricket Stadium, Abu Dhabi",2021-10-18
T20,Hyderabad (India),Uttar Pradesh,Hyderabad (India),Uttar Pradesh,"Airforce Complex ground, Palam II",2019-02-22
T20,Desert Vipers,Dubai Capitals,Dubai Capitals,Dubai Capitals,Dubai International Cricket Stadium,2025-02-09
T20,Kent,Essex,Essex,Kent,"County Ground, Chelmsford",2021-06-25
T20,South Africa,West Indies,West Indies,West Indies,St George's Park,2007-12-16
T20,Thunder,Southern Vipers,Thunder,Southern Vipers,"The Rose Bowl, Southampton",2023-05-31
T20,United Arab Emirates,South Africa,South Africa,South Africa,"Arun Jaitley Stadium, Delhi",2026-02-18
T20,Turkey,Jersey,Jersey,Jersey,"Grainville, St Saviour, Jersey",2023-05-30
T20,Trent Rockets,Welsh Fire,Welsh Fire,Trent Rockets,"Sophia Gardens, Cardiff",2023-08-14
T20,Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,"Arun Jaitley Stadium, Delhi",2023-04-04
Test,Australia,South Africa,South Africa,South Africa,"Lord's, London",2025-06-11
ODM,Singapore,Bahrain,Bahrain,Bahrain,"Mission Road Ground, Mong Kok, Hong Kong",2025-02-13
T20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-05-18
Test,Australia,South Africa,Australia,Australia,Kingsmead,2018-03-01
T20,Australia,Pakistan,Pakistan,Australia,Kerrydale Oval,2014-09-03
T20,St Lucia Zouks,Barbados Tridents,St Lucia Zouks,St Lucia Zouks,"Warner Park, Basseterre",2015-07-03
T20,Northamptonshire,Durham,Northamptonshire,Durham,"County Ground, Northampton",2023-05-26
ODI,India,West Indies,India,India,"Narendra Modi Stadium, Ahmedabad",2022-02-11
T20,Dambulla Giants,Colombo Stars,Dambulla Giants,Dambulla Giants,"R Premadasa Stadium, Colombo",2021-12-08
T20,Durban's Super Giants,Joburg Super Kings,Joburg Super Kings,Durban's Super Giants,"The Wanderers Stadium, Johannesburg",2024-02-08
MDM,Derbyshire,Durham,Durham,No Result,"Riverside Ground, Chester-le-Street",2022-07-11
ODI,Pakistan,Bangladesh,Pakistan,Pakistan,Gaddafi Stadium,2008-04-08
T20,Cape Cobras,Titans,Titans,Titans,"Newlands, Cape Town",2012-03-04
ODM,Lancashire,Worcestershire,Worcestershire,Lancashire,"Old Trafford, Manchester",2024-08-14
ODI,India,Sri Lanka,India,India,Eden Gardens,2014-11-13
ODI,Pakistan,South Africa,South Africa,South Africa,Grace Road,2017-06-25
MDM,Tamil Union Cricket and Athletic Club,Colombo Cricket Club,Colombo Cricket Club,Colombo Cricket Club,"P Sara Oval, Colombo",2024-12-27
T20,Knights,Titans,Titans,Knights,"SuperSport Park, Centurion",2014-11-07
T20,St Kitts and Nevis Patriots,St Lucia Stars,St Lucia Stars,St Kitts and Nevis Patriots,"Daren Sammy National Cricket Stadium, Gros Islet",2017-08-12
